,epoch,batch,loss,acc,f1,recall,roll_730_acc,roll_730_loss,roll_180_acc,roll_180_loss
1785,8,193,0.377473990941785,0.855,0.855,0.855,0.8480342465753394,0.3780938112056172,0.8529583333333334,0.36712440407371216
1786,8,194,0.3774461764555711,0.845,0.845,0.845,0.8480205479452024,0.37807530772907905,0.8530555555555556,0.36722075225478196
1787,8,195,0.3772093688651007,0.875,0.875,0.875,0.8480376712328738,0.3780571920963865,0.8530694444444445,0.36731578150123256
1788,8,196,0.3770840997018185,0.875,0.875,0.875,0.848068493150682,0.37803935883448947,0.8532500000000001,0.3674001740356855
1789,8,197,0.37690098418129814,0.865,0.865,0.865,0.8480342465753395,0.37802291338282795,0.8532083333333335,0.3674989954277154
1790,8,198,0.3769719200817185,0.8525,0.8525,0.8525,0.8480239726027368,0.3780065522006936,0.8530694444444445,0.367600973062455
1791,9,0,0.40202492475509644,0.8325,0.8325,0.8325,0.8480205479452024,0.37802436229766057,0.852875,0.3678519903663854
1792,9,1,0.3965880274772644,0.8275,0.8275,0.8275,0.8479931506849285,0.3780344911980813,0.8525972222222222,0.3680751189664807
1793,9,2,0.3952885369459788,0.865,0.865,0.865,0.848013698630134,0.37804309216962245,0.8524583333333334,0.3683007410404506
1794,9,3,0.39382247626781464,0.865,0.865,0.865,0.8480068493150654,0.3780501188008107,0.8523611111111113,0.36851755541574865
1795,9,4,0.3743021309375763,0.9075,0.9075,0.9075,0.8480924657534217,0.3780301975343784,0.8526250000000002,0.3686203733493412
1796,9,5,0.3683099150657654,0.8825,0.8825,0.8825,0.8481232876712299,0.378002164114207,0.8528194444444446,0.36869179389306483
1797,9,6,0.3690286491598402,0.85,0.85,0.85,0.8481369863013669,0.3779749417564106,0.8529027777777778,0.36875888965450804
1798,9,7,0.3609420470893383,0.895,0.895,0.895,0.8482363013698601,0.37793604386549995,0.8530416666666667,0.3687845496081545
1799,9,8,0.3584017488691542,0.8725,0.8725,0.8725,0.8482568493150655,0.3778943696828418,0.8532222222222223,0.3687942420040653
1800,9,9,0.356564998626709,0.8725,0.8725,0.8725,0.848291095890408,0.37785033639322,0.8532361111111112,0.3687914494636558
1801,9,10,0.35375734892758454,0.8825,0.8825,0.8825,0.8483698630136955,0.3778013118417016,0.8532916666666667,0.36877387630500713
1802,9,11,0.35980282227198285,0.835,0.835,0.835,0.8483527397260244,0.3777602245993448,0.8530694444444445,0.3687963995828413
1803,9,12,0.3566885177905743,0.87,0.87,0.87,0.8484006849315039,0.37771439445496746,0.8531944444444446,0.36880049852333874
1804,9,13,0.35829858269010273,0.86,0.8599999999999999,0.86,0.8484452054794491,0.37767006907573925,0.8533611111111112,0.3688034644170623
1805,9,14,0.3559713880221049,0.8825,0.8825,0.8825,0.8484726027397232,0.37762319657399335,0.8534305555555556,0.3687918742789521
1806,9,15,0.3548435363918543,0.8725,0.8725,0.8725,0.8485136986301341,0.37757482028009376,0.8535972222222222,0.36876977006170997
1807,9,16,0.35570908294004555,0.8775,0.8775,0.8775,0.8485684931506822,0.37752712732969973,0.8537361111111111,0.3687466810135475
